departure_day,departure_time_hour,order_id,payment_day,payment_week,departure_week,account_id,adult,child,infant,age,gender,customer_price
Thursday,17:40,dc4b93999e67112bd673b5457a4052b8,Tuesday,9,22,071bb7304b7e2de18e8d5efc6fbe2bbe,1,0,0,30,F,1090570.0
Thursday,05:00,addf13cf9693c22f291484dbcab53bbd,Saturday,12,22,114ff495b211d2d5eb057fcc3c90f971,1,0,0,0,Unknown,1090570.0
Thursday,17:40,8f8455d559593e5842532c68fbfb832d,Tuesday,9,22,071bb7304b7e2de18e8d5efc6fbe2bbe,1,0,0,30,F,1090570.0
Thursday,17:40,96b9666be21d0ac77acb12b449145ed4,Sunday,11,22,5dea1945219bddda6b16459241df0c12,2,0,0,58,M,2181140.0
Thursday,17:40,9af805a69bf77d35465bc59728c375d2,Sunday,11,22,5dea1945219bddda6b16459241df0c12,2,0,0,58,M,2181140.0
Friday,05:00,bc1610b071cff2e8d1b1386aeeadb1c3,Sunday,21,22,d64a90a618202a5e8b25d8539377f3ca,1,0,0,0,M,3308578.0
Saturday,05:00,0acff6f8a4f1a6d2bc7eebadbcdba866,Sunday,21,22,e54387df00e74c13ce3f32cd2ed81e04,1,0,0,0,M,3308578.0
Thursday,05:00,d3d52c563e272e0a4186eb8cf5ecfc99,Monday,22,22,2515359fec88dcb6dd1cf0422b686892,1,1,0,32,F,4333648.0
Tuesday,08:45,0e1cc5f38d6f284eef7c1d2c4910509f,Thursday,20,22,b7af02be2a1d8ac0c7d58f4c836e1991,1,1,0,0,F,4333648.0
Thursday,05:00,19cfb879b32eb99e3da597f6a0b1b3da,Tuesday,22,22,d6d692f53a818ba3fd89c123ad4c2766,1,1,0,0,F,4333648.0
Friday,05:50,9e1c9ebc904c0f4e9e825d97c0995395,Thursday,19,22,d2ce1ee91530fd08185116519494277d,1,1,0,0,Unknown,4333648.0
Thursday,14:55,e8b62e910f484a740390848e9d723e73,Sunday,17,22,bd5facff9cd3bf05e7fdf411f1e6d167,2,0,0,0,Unknown,3713580.0
Thursday,17:40,18d4a1c63eb160edd2b0a8d5e592465f,Tuesday,21,22,b6b8e053026c841d02aae415ca7c661e,1,0,0,27,M,1474070.0
Friday,12:25,9a7aa2afc71da3265602a6249be593d6,Sunday,18,22,f4ef5499b5476315f22fb63b328bef44,1,0,0,0,Unknown,1474070.0
Friday,14:55,0c992c6157988853a9e9635095137cf4,Friday,19,22,d9457eb3b03395c5417ca036f549aac0,2,0,0,0,M,2948140.0
Sunday,05:00,f5fdc7839f019881ca8fcac1c544cb36,Thursday,22,22,7b708ef3afaa4b939c7504de53e48bc3,1,0,0,49,M,4157998.0
